URL_ID,avg_sentence_length,percent_complex_words,fog_index,Positive_Score,Negative_Score,Polarity_Score,Subjectivity_Score,URL,avg_word_length
Netclan20241017,30.5,45.08196721311475,30.2327868852459,3,0,0.9999996666667778,0.019607843009099,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,7.967213114754099
Netclan20241018,27.153846153846153,31.728045325779036,23.552756591850077,8,7,0.0666666622222225,0.0317796609496193,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,6.767705382436261
Netclan20241019,16.0,27.916666666666668,17.56666666666667,10,3,0.5384614970414233,0.0454545452956134,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,6.7125
Netclan20241020,49.142857142857146,53.19767441860465,40.936212624584726,20,10,0.3333333222222225,0.0717703347565303,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,8.031976744186046
Netclan20241021,12.242424242424242,31.683168316831683,17.570237023702372,9,2,0.636363578512402,0.0198555956320296,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,6.75
Netclan20241022,30.5,45.08196721311475,30.2327868852459,3,0,0.9999996666667778,0.019607843009099,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,7.967213114754099
Netclan20241023,27.153846153846153,31.728045325779036,23.552756591850077,8,7,0.0666666622222225,0.0317796609496193,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,6.767705382436261
Netclan20241024,16.0,27.916666666666668,17.56666666666667,10,3,0.5384614970414233,0.0454545452956134,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,6.7125
Netclan20241025,49.142857142857146,53.19767441860465,40.936212624584726,20,10,0.3333333222222225,0.0717703347565303,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,8.031976744186046
Netclan20241026,19.423076923076923,49.801980198019805,27.69002284843869,54,16,0.5428571351020409,0.0533536584959194,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,7.688118811881188
